Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
23.2,335.9416497333722,138459.9135,324.5,0.7373791927302971,0.6811037133253813,0.6624660823625244,335.9416497333722,-0.4983237148156263
24.7833,335.9205994628524,137908.9195,324.5,0.7977112557228123,0.6078760247318297,0.6290736399155055,335.9205994628524,-0.5193739853353918
26.35,335.9133844730223,137561.5925,322.5,0.27631288045385943,0.5568450691752876,0.6330311292025268,335.9133844730223,-0.5265889751655095
27.9333,335.8899876799917,137169.2675,324,0.8866339808223112,0.5229221259540572,0.5214805606542852,335.8899876799917,-0.5499857681961089
29.5,335.8813682028589,136913.947,323.5,0.3301006114563469,0.47063217578285177,0.48344563434035415,335.8813682028589,-0.5586052453289199
31.0833,335.872865875096,136608.9875,323.5,0.322200256282547,0.4182616397585694,0.4276537108022218,335.872865875096,-0.5671075730917892
32.65,335.8575871336103,136346.42,323,0.585130841349396,0.4045739432789537,0.4122667252593564,335.8575871336103,-0.5823863145774908
34.2333,335.8498703285305,136241.965,322,0.29243245423283876,0.36292161324944694,0.4090214243393344,335.8498703285305,-0.5901031196572717
35.8167,335.8368513469855,136009.2695,322,0.4933301078071552,0.30045093837780845,0.3344359374362531,335.8368513469855,-0.6031221012023025
37.3833,335.836590639405,135902.723,322,0.009984970527780787,0.27892035970593265,0.29373970570759855,335.836590639405,-0.6033828087827828
38.9667,335.8213995777188,135816.9735,321.5,0.5756370476017293,0.236901897885577,0.24175751390457378,335.8213995777188,-0.6185738704689925
40.55,335.821531097539,135791.39,322.5,0.0,0.2467698209745256,0.23020621042895684,335.821531097539,-0.6184423506488201
42.1333,335.8136713149897,135769.8715,323.5,0.29785066188227427,0.2858204529108177,0.23589976935183188,335.8136713149897,-0.6263021331981236
43.7,335.8065959706465,135820.734,323,0.27096486920852414,0.26716060291877153,0.2826204946739388,335.8065959706465,-0.6333774775412735
45.2667,335.7974911218543,135771.9235,323,0.34868891781015154,0.21694536271891401,0.30560346283475326,335.7974911218543,-0.6424823263334929
46.8333,335.7913245412426,135826.174,323.5,0.23617696712772265,0.12402925228381755,0.20899960031579567,335.7913245412426,-0.6486489069451977
48.4167,335.7910401857008,135850.9425,322,0.010775124736413667,0.11272517263222545,0.083689927109873,335.7910401857008,-0.6489332624869917
50,335.7890214194427,135978.6225,322,0.07650222667029319,0.06675524631925113,0.009350393959678627,335.7890214194427,-0.6509520287451096
51.5667,335.7906512543338,136115.7445,322.5,0.0,0.1134701759851183,0.06609792867314468,335.7906512543338,-0.6493221938540046
53.15,335.7836343045961,136154.0705,322.5,0.26591106187217933,0.1225758628220787,0.1771820014880845,335.7836343045961,-0.6563391435917083
54.7333,335.7778102419408,136283.2125,322.5,0.22070596811515664,0.1597022999136566,0.19963501529974792,335.7778102419408,-0.6621632062469871
56.3,335.7724177263208,136514.5375,324,0.20651748082073518,0.1532979680981485,0.14768470882851403,335.7724177263208,-0.6675557218670178
57.8833,335.7759533128632,136667.359,322.5,0.0,0.10459766928692765,0.06285763422596347,335.7759533128632,-0.6640201353246198
59.4667,335.7689388182102,136830.7525,324.5,0.2658012373244472,0.05564812822551149,0.06734970496685833,335.7689388182102,-0.671034629977612
61.05,335.7715611382951,136922.709,324,0.0,0.021095015553550693,0.09652166356166703,335.7715611382951,-0.6684123098926875
62.6333,335.7631133952758,137148.265,324,0.3201317382417703,0.007406101394609872,0.035451023087109235,335.7631133952758,-0.6768600529119908
64.2167,335.7704465147326,137792.6605,325.5,0.0,0.04323705657066614,0.0,335.7704465147326,-0.6695269334551881
65.7833,335.7673009186765,137994.1425,322,0.12047476277781959,0.09256463968239362,0.018399844890197414,335.7673009186765,-0.672672529511317
67.3667,335.7642886215253,138163.187,323.5,0.11414540171282483,0.1452713269231832,0.0880669723272014,335.7642886215253,-0.6756848266625184
68.95,335.7600396093137,138361.873,324,0.16101858946151756,0.16788131265073936,0.21782282101547423,335.7600396093137,-0.6799338388740921
70.5333,335.754363225874,138128.464,323.5,0.21510958528593063,0.17746606718728358,0.22068469133935764,335.754363225874,-0.6856102223138123
72.1167,335.7454458210074,138184.039,323,0.3379084830074073,0.11930274307149834,0.148482264298039,335.7454458210074,-0.6945276271803777
73.7,335.7506994967162,138351.9745,322.5,0.0,0.02006221760778884,0.03534014307898303,335.7506994967162,-0.6892739514715913
75.2833,335.7485767588482,138418.8815,322,0.08044228641578027,0.02777923715110094,0.0,335.7485767588482,-0.6913966893396264
76.8667,335.7497509717428,138436.6125,323.5,0.0,0.028303714272538086,0.0,335.7497509717428,-0.6902224764450011
78.45,335.7439213784434,138479.541,324,0.22091555483034642,0.0,0.02324139201696518,335.7439213784434,-0.6960520697443826
