Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
1.16667,336.2843348184977,33932.1375,324.5,3.5463060396091883,2.663402625163353,3.2382974141342054,336.2843348184977,0.0
2.73333,336.1917372214975,33437.316,326.5,3.5463060396091883,2.663402625163353,3.2382974141342054,336.1917372214975,-0.09259759700023551
4.33333,336.1403590475273,32999.71,325,1.9266815238822228,2.285203199165941,2.361309369872808,336.1403590475273,-0.14397577097042813
5.9,336.1035258741049,32618.9325,326.5,1.4106291722849482,1.8562445489110455,1.8318929585428734,336.1035258741049,-0.18080894439282247
7.48333,336.0556451182599,32327.487,326,1.8144324624041104,1.4769150577873547,1.626847189719844,336.0556451182599,-0.2286897002377941
9.05,336.0032084013574,32031.444,324,2.0082104170945225,1.3378067881281872,1.5302814729303023,336.0032084013574,-0.2811264171402854
10.6167,335.9830347004934,31796.2265,326,0.7725933821665905,1.3194558260797544,1.3842759806801954,335.9830347004934,-0.301300118004292
12.1833,335.9488886805341,31549.1495,325,1.3077755633602868,1.2061676829117858,1.243630491688046,335.9488886805341,-0.3354461379636291
13.7667,335.9071328472619,31337.94850000001,325,1.5822596920117837,0.9931209136156334,1.123187823275174,335.9071328472619,-0.3772019712358201
15.3333,335.8896718410596,31116.383,325,0.6687478438248948,0.9195395644791137,0.9678609680971562,335.8896718410596,-0.3946629774380881
16.9,335.8737700433225,30938.0395,323.5,0.6089920624413732,0.8958079331109273,0.7946577908468679,335.8737700433225,-0.41056477517520307
18.4833,335.8447419180238,30733.351,326,1.100036327874828,0.8594551429711925,0.847009714309904,335.8447419180238,-0.43959290047394006
20.05,335.8207852555523,30584.678,323.5,0.9174696804026989,0.8135494736190884,0.9586308125276428,335.8207852555523,-0.4635495629453885
21.6333,335.7987624951567,30415.3525,322.5,0.8345642795023245,0.8796070756810874,0.8490547496957179,335.7987624951567,-0.485572323340989
23.2,335.7786700160607,30278.9965,323,0.769482827447592,0.7733190287665577,0.7398197427641184,335.7786700160607,-0.5056648024370247
24.7833,335.7641395633351,30153.2335,321.5,0.5506392746382978,0.5595906245110955,0.716733311302848,335.7641395633351,-0.520195255162605
26.35,335.7410815248955,30023.6955,324,0.8830550241762233,0.4999366419441639,0.6454944601153407,335.7410815248955,-0.5432532936022199
27.9333,335.7303797200461,29931.0665,313.5,0.4055506164119868,0.5256010647030407,0.44177691305032596,335.7303797200461,-0.5539550984516382
29.5,335.7214054356901,29843.2135,314.5,0.3436886840870417,0.6192809206665469,0.37779168278274255,335.7214054356901,-0.5629293828076243
31.0833,335.7171585144289,29723.4545,315,0.16093935177915994,0.640124418801404,0.6060591583098969,335.7171585144289,-0.5671763040688234
