Process Time [min],Average emission wavelength [nm],Integral,missing,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0,336.8061335093129,241541.245,,5.166853289638352,3.8686753667609013,4.841312186446152,336.8061335093129,0.0
1.58333,336.6697862789948,240427.75,,5.166853289638352,3.8686753667609013,4.841312186446152,336.6697862789948,-0.13634723031805152
3.16667,336.5993502893736,237048.14,,2.669142052416415,3.1628106602197055,3.314477133678425,336.5993502893736,-0.2067832199392683
4.75,336.5384179735822,234203.24,,2.309018933186753,2.3264940105227563,2.2727089324446075,336.5384179735822,-0.26771553573064466
6.33333,336.4871386114967,231596.66,,1.943222022656749,1.6371481205346747,1.7531157373339754,336.4871386114967,-0.3189948978161965
7.9,336.4512275007062,228728.125,,1.3753162104525012,1.292485778632334,1.6303554736399164,336.4512275007062,-0.3549060086066902
9.48333,336.4075528059651,226565.174,,1.6550445481764802,1.297341755763047,1.4445197958607974,336.4075528059651,-0.3985807033477613
11.0667,336.3724856082642,224168.431,,1.3288314557276786,1.2646842052996274,1.3022125999663687,336.3724856082642,-0.4336479010486869
12.65,336.3462791753284,221937.565,,0.9931067871835054,1.103604224686386,1.1237221355387792,336.3462791753284,-0.45985433398448095
14.2333,336.317401269884,220126.6965,,1.0943436661808947,1.0469950461253454,1.0235821808205436,336.317401269884,-0.48873223942888444
15.8,336.2929010082213,218682.33,,0.93828792989193,0.9864351734009214,1.0430553638838762,336.2929010082213,-0.5132325010915793
17.3833,336.260749275598,216757.434,,1.2184070974525325,0.9549179673123405,0.9954238274329122,336.260749275598,-0.5453842337148558
18.95,336.2410955608629,215518.9,,0.7526794434842803,0.9382945546434103,0.9416300073408523,336.2410955608629,-0.5650379484499695
20.5333,336.2176856182033,214000.6405,,0.8871322930440847,0.8604372106095279,0.86725630536752,336.2176856182033,-0.5884478911095812
22.1167,336.1929156060529,212425.695,,0.9386135714431232,0.7636911756162194,0.8395641513280783,336.1929156060529,-0.6132179032599652
23.6833,336.175700959456,211165.477,,0.6593123936011608,0.7707227236432578,0.7786674902804149,336.175700959456,-0.6304325498568915
25.2667,336.1533953441527,210114.0165,,0.845229833393445,0.6603277522264792,0.66805465342863,336.1533953441527,-0.6527381651601445
26.85,336.143766316517,208929.4175,,0.36489715034751097,0.5935876710833696,0.642481390126731,336.143766316517,-0.6623671927958981
28.4333,336.1202170356899,207870.014,,0.8924125873960425,0.5673862607583173,0.0,336.1202170356899,-0.6859164736229673
30.0167,336.1068277974697,206761.7275,,0.5073602963324513,0.6500475554277273,0.0,336.1068277974697,-0.6993057118431807
31.5833,336.0886030921922,205758.664,,0.6979971381645184,0.7579341680495658,0.0,336.0886030921922,-0.7175304171206562
31.5833,336.0832461910952,200188.274,,0.0,0.0,0.0,336.0832461910952,-0.7228873182176585
33.14997,336.0414576125423,200433.245,,1.6004102415801378,0.7607623204331327,0.0,336.0414576125423,-0.7646758967705978
34.71663,336.0263871103725,200063.486,,0.5771706242483642,0.6152518569000377,0.0,336.0263871103725,-0.7797463989403468
36.29997,336.0139325417958,199437.463,,0.4719606114950543,0.4516915780751244,0.35682588443222585,336.0139325417958,-0.7922009675170898
37.86663,336.0084113727269,198920.5295,,0.2114499279559029,0.30109763279281104,0.22257382911000434,336.0084113727269,-0.7977221365859464
39.4333,336.0031135542462,198339.3785,,0.20289474416560765,0.23317578751509127,0.2148290020882726,336.0031135542462,-0.8030199550666453
41.01663,335.9962317690909,197659.167,,0.2607839864834839,0.21093296985427548,0.25635272995219793,335.9962317690909,-0.8099017402219602
42.5833,335.9873637143481,197311.0165,,0.3396269058385204,0.3012726623085185,0.3379508440312833,335.9873637143481,-0.8187697949647941
44.1666,335.9778613657468,196869.263,,0.3600965806089285,0.261167723132182,0.32219008334804755,335.9778613657468,-0.828272143566096
45.7333,335.9704581376471,196588.601,,0.28352185228915433,0.23053247867882865,0.2157132772857402,335.9704581376471,-0.8356753716657863
47.3,335.9702105467571,196156.14,,0.009482002553610579,0.22008379175804346,0.17305914516082055,335.9702105467571,-0.8359229625557987
48.883300000000006,335.9643457982581,195744.5185,,0.22224777991511252,0.28633581828379634,0.20418434155364196,335.9643457982581,-0.841787711054792
50.45,335.9530445300492,195242.924,,0.4328053185237943,0.2575691242358704,0.2741853228694282,335.9530445300492,-0.8530889792636458
52.0166,335.9489764986041,195069.9255,,0.15580357890138496,0.1923583575438907,0.2939022556734905,335.9489764986041,-0.8571570107087609
53.6,335.9390201592548,194755.236,,0.377276974205653,0.21681437629028524,0.0,335.9390201592548,-0.8671133500580481
55.1666,335.9312180008898,194324.7615,,0.29881878073518287,0.28081053757950014,0.0,335.9312180008898,-0.8749155084230438
56.75,335.9321452617417,193958.6735,,0.0,0.36129680383224766,0.0,335.9321452617417,-0.8739882475711624
56.75,335.9485253501278,185004.849,,0.0,0.0,0.0,335.9321452617417,-0.8739882475711624
58.33333,335.9153703773253,185267.669,,1.256401614413641,0.41277828281134005,0.0,335.8989902889392,-0.9071432203736549
59.9,335.9018722465398,184832.516,,0.5169485897660133,0.3278255312132081,0.0,335.88549215815374,-0.9206413511591336
61.48333,335.9076180243642,184483.1275,,0.0,0.2134070969464992,0.0,335.8912379359781,-0.9148955733347748
63.06667,335.9037613596288,184398.388,,0.14614667988156385,0.13093681600882562,0.0,335.8873812712427,-0.9187522380701694
64.63333,335.9033145532449,184084.6165,,0.017111806666813764,0.09110291385261794,0.103280440634137,335.8869344648588,-0.9191990444540465
66.2,335.8954506399594,183876.1515,,0.3011705063166607,0.1522668459505734,0.2256958859428977,335.8790705515733,-0.9270629577395653
67.7833,335.8885807210992,183411.84,,0.2603392481608605,0.22592736867984786,0.26902360354188204,335.8722006327131,-0.9339328765997834
69.3667,335.8833041620611,183242.211,,0.19994539742576242,0.18143154623925756,0.20901046931651024,335.866924073675,-0.9392094356378493
70.95,335.8785735014303,183036.735,,0.17927091381791405,0.08287591018004947,0.07783308667893607,335.8621934130442,-0.9439400962686477
72.5167,335.8833940749831,183103.0365,,0.0,0.059396867615417806,0.017793268065290135,335.867013986597,-0.9391195227158846
74.1,335.8791902436309,182942.684,,0.15930643663938857,0.010082099762140752,0.04247146097117849,335.8628101552448,-0.9433233540680703
75.66669999999999,335.8776330331239,182617.573,,0.0596365803398349,0.06113052470869074,0.08421244943540529,335.8612529447378,-0.944880564575044
77.25,335.8724716683652,182570.75,,0.19559267701731312,0.08099415577566607,0.09252076869235282,335.85609157997914,-0.9500419293337359
78.85,335.8758204307606,182343.1755,,0.0,0.16300178314157143,0.0899565987565012,335.8594403423745,-0.9466931669383598
80.4333,335.8666818706312,182228.6625,,0.3463106219682536,0.22749988373195007,0.0,335.85030178224514,-0.9558317270677321
82.0167,335.864872686667,182089.2875,,0.06855566366852862,0.2642918413629718,0.0,335.8484925982809,-0.9576409110319446
83.6,335.8493173008617,181914.108,,0.5894796616684711,0.285335897582567,0.0,335.8329372124756,-0.9731962968372727
83.6,335.8556342625151,165560.12,,0.0,0.0,0.0,335.8329372124756,-0.9731962968372727
85.16667,335.8388402624661,165845.6485,,0.6431731015084261,0.25461937689794734,0.0,335.8161432124266,-0.9899902968862762
86.75,335.843701084241,165626.154,,0.0,0.2251133581537628,0.0,335.8210040342015,-0.9851294751113642
88.33332999999999,335.8341314669914,165676.67,,0.3626388908039599,0.16786289849865424,0.1261720975207936,335.8114344169519,-0.9946990923609746
89.89999999999999,335.8294773649932,165316.0975,,0.1782418249484066,0.10498036410780989,0.16994701867157858,335.8067803149537,-0.9993531943591734
91.48333,335.8236815567233,165324.2345,,0.21963109155673605,0.06024760463821718,0.13603164704338155,335.8009845066838,-1.0051490026290821
93.05,335.8301444236795,165333.278,,0.0,0.0006798878146439029,0.0,335.80744737364,-0.9986861356728696
94.63329999999999,335.8231618278692,165167.9685,,0.26460920142450495,0.0,0.0,335.80046477782975,-1.0056687314831265
96.19999999999999,335.8337974582863,165178.8125,,0.0,0.0,0.0024305725842523884,335.81110040824683,-0.995033101066042
97.7833,335.8225096599289,164963.1515,,0.4277571536936767,0.07703672354820051,0.042094647933869744,335.79981260988944,-1.0063208994234287
99.35,335.8258531885717,164989.633,,0.0,0.1032198817304198,0.09680302323012313,335.80315613853224,-1.002977370780627
100.9333,335.8204965846252,164827.9475,,0.20299137042451396,0.13895644970936774,0.13912629074395966,335.7977995345857,-1.0083339747271793
