Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0.4,336.6061187647315,186523.979,326.5,1.8509631362150787,2.150952253603332,2.0607079868537928,336.6061187647315,0.0
1.96667,336.5577879577879,182113.6135,326.5,1.8509631362150787,2.150952253603332,2.0607079868537928,336.5577879577879,-0.04833080694356795
3.55,336.4892886644503,180053.4195,325.5,2.5957681596734172,2.0032483323057613,2.067335636367794,336.4892886644503,-0.11683010028116314
5.11667,336.4471266348841,178048.884,326.5,1.6147125903813977,1.8267279705781527,1.9731632256784088,336.4471266348841,-0.15899212984737687
6.7,336.3976699343401,176256.3545,325.5,1.8741525977780618,1.5840596644277438,1.7388942044929072,336.3976699343401,-0.20844883039137585
8.26667,336.3603624903903,174470.4115,325.5,1.4287926857536644,1.411763689895493,1.4612693311438085,336.3603624903903,-0.24575627434120406
9.83333,336.3240620516943,172898.175,325,1.3902354829766315,1.1797141174192125,1.2459491601693462,336.3240620516943,-0.2820567130372069
11.4167,336.3037030756821,171341.332,326,0.7714801724995106,1.09017487303284,1.124971169944481,336.3037030756821,-0.30241568904938276
12.9833,336.2678563555675,169988.7785,325,1.372911532538927,1.100064833207105,1.092761782017912,336.2678563555675,-0.3382624091639741
14.55,336.2394910025141,168733.3835,324,1.0863095571610053,1.0297907049026351,1.0836017176844654,336.2394910025141,-0.3666277622173766
16.1167,336.216206717975,167513.954,323.5,0.8917195840595614,0.9851458858668363,1.0530236050471318,336.216206717975,-0.3899120467564785
17.7,336.1888730707965,166253.2875,324,1.035823173568731,0.9184415066285567,0.937256931398683,336.1888730707965,-0.4172456939350013
19.2833,336.1639975184394,165110.8825,325,0.9426723561087439,0.7887434185050741,0.8346216519051579,336.1639975184394,-0.4421212462921176
20.8667,336.1499160730363,164124.254,324.5,0.5335902009497783,0.6673693966027416,0.7319428800573391,336.1499160730363,-0.45620269169518224
22.4333,336.13089549018,163123.577,323.5,0.7284788531706357,0.6742960916854079,0.6860942362276718,336.13089549018,-0.4752232745514675
24,336.1112061813183,162235.938,323,0.7540425937971631,0.6634499539886736,0.6337039438547301,336.1112061813183,-0.4949125834131678
25.5833,336.0950103948261,161399.9965,324.5,0.6137479880843623,0.6562422282409845,0.6301483408879296,336.0950103948261,-0.5111083699054007
27.1667,336.0854547794694,160664.5125,323,0.36209228331576887,0.6769902027249881,0.6943214710915635,336.0854547794694,-0.5206639852621038
28.7333,336.0549109712068,159872.752,323.5,1.1698126488917746,0.6356543480642335,0.6977361298871472,336.0549109712068,-0.551207793524668
30.3167,336.0420393621819,159187.929,324.5,0.487745700071942,0.5636511306015922,0.6355597563979529,336.0420393621819,-0.5640794025495666
31.8833,336.0335003763765,158499.189,323.5,0.32703890484274645,0.5294325973799664,0.5047620887083859,336.0335003763765,-0.5726183883550107
33.4667,336.0185840143683,157850.1605,324,0.5652278138762243,0.44805953978380797,0.4117923068467704,336.0185840143683,-0.5875347503632042
35.05,336.0059308669005,157206.294,323.5,0.4794977882069786,0.3775769357411285,0.45987235848689956,336.0059308669005,-0.600187897831006
36.6167,335.9983605122466,156667.7315,322.5,0.2899223075457243,0.3515075171305355,0.433280650092728,335.9983605122466,-0.6077582524848708
38.1833,335.9839054433882,156074.085,322.5,0.553621940191897,0.4227745011714178,0.3477567780161266,335.9839054433882,-0.6222133213432812
39.7667,335.9785946011324,155508.7525,324.5,0.20124449624190582,0.37816694742083035,0.3467976043908543,335.9785946011324,-0.6275241635991051
41.35,335.9696474378961,155015.215,323,0.3390575343746896,0.4056422920387088,0.38740511070106365,335.9696474378961,-0.6364713268353626
42.9333,335.9541648141263,154676.397,323,0.586722305432543,0.4300382540046314,0.4640393219882668,335.9541648141263,-0.6519539506052183
44.5,335.9430600685146,154299.204,323,0.42527908131665254,0.3873748651782578,0.44331721765779264,335.9430600685146,-0.663058696216865
46.0667,335.9323419382542,153647.51,323.5,0.4104728509775878,0.39282206979032336,0.3706848726594689,335.9323419382542,-0.6737768264773081
47.6333,335.9304982510351,153382.3585,323.5,0.07061230253133775,0.3211397722902178,0.3155588698494718,335.9304982510351,-0.6756205136964013
49.2167,335.9130313042726,152948.462,322.5,0.6618774824748314,0.20415336609460633,0.25284325833884935,335.9130313042726,-0.6930874604589121
50.8,335.9158528590324,152619.7175,323,0.0,0.19729469233523614,0.2929471357932698,335.9158528590324,-0.690265905699107
52.3833,335.9056488888464,152192.7585,324.5,0.38668490567847313,0.23098530393427857,0.18125337681552622,335.9056488888464,-0.7004698758851191
53.95,335.8972550703722,151887.6985,321.5,0.321458548829628,0.25299920696481765,0.1345361497228481,335.8972550703722,-0.7088636943593087
55.5333,335.9055475787599,151572.794,323.5,0.0,0.24787955604091663,0.29142791247731026,335.9055475787599,-0.7005711859715689
57.1167,335.8822747682578,151253.667,323,0.8818798977694211,0.2949308591632461,0.328784730047019,335.8822747682578,-0.723843996473704
58.7,335.8735729791552,150950.4585,324,0.3297589503917642,0.3292569468838252,0.34252496813266475,335.8735729791552,-0.732545785576292
60.2833,335.8751392823933,150733.871,323,0.0,0.256424546725172,0.23859478948133983,335.8751392823933,-0.7309794823381708
61.8667,335.8668933254934,150447.6585,322.5,0.3124652103047017,0.24335303035919753,0.20954136717115546,335.8668933254934,-0.7392254392381119
63.4333,335.8581156856845,150218.5565,323,0.3361792343507334,0.17926182603390986,0.2663862366406704,335.8581156856845,-0.7480030790470096
65.0167,335.8497261578969,149941.822,323.5,0.31790556224272154,0.11750810607853779,0.17079326406178907,335.8497261578969,-0.756392606834595
66.5833,335.856786869623,149726.7465,323.5,0.0,0.1665294322297326,0.11166144221617458,335.856786869623,-0.7493318951084689
