Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0,336.5944396024249,80183.33,327,5.478127330484454,3.7434067053989417,4.955749072413296,336.5944396024249,0.0
1.58333,336.449878213322,78782.09099999999,324.5,5.478127330484454,3.7434067053989417,4.955749072413296,336.449878213322,-0.14456138910293248
3.15,336.39327330123,77734.016,326.5,2.1678430847077275,3.0212176715907555,3.1384374585178927,336.39327330123,-0.20116630119491674
4.73333,336.3450447281302,76784.70550000001,325.5,1.8276129334946298,2.055755454183619,1.94643855074965,336.3450447281302,-0.24939487429475093
6.31667,336.2952350954814,75945.56599999999,326,1.8875149739952177,1.3200734327403143,1.4514817125930763,336.2952350954814,-0.29920450694351075
7.9,336.2640652040108,75127.946,324.5,1.1811773213643564,1.0442542555472762,1.427404232969141,336.2640652040108,-0.3303743984141079
9.46667,336.2311063499845,74414.918,325.5,1.2622512983461625,1.2504441752852355,1.2737489323338118,336.2311063499845,-0.3633332524404409
11.0333,336.1932429691149,73796.1625,323,1.450120865918567,1.2884395866300509,1.2371224954915867,336.1932429691149,-0.40119663331000766
12.6,336.1685259776102,73185.20550000001,325,0.9465880451153588,1.108413673862851,1.2030110870625395,336.1685259776102,-0.4259136248147115
14.1667,336.1334675061609,72637.63350000001,324,1.3426362972861625,1.0219479430107739,1.0724570129247815,336.1334675061609,-0.46097209626401536
15.75,336.1150512497738,72274.8945,325,0.6978938819096889,0.8987058980323298,0.9599096817876613,336.1150512497738,-0.4793883526511422
17.3167,336.0870170083058,71892.0595,324.5,1.0736289577325149,0.7606194361619532,0.8136355923379259,336.0870170083058,-0.5074225941191344
18.8833,336.0742639034417,71565.311,323,0.48843756660624277,0.7060427206636694,0.7228045368369811,336.0742639034417,-0.5201756989832234
20.4667,336.0534648503038,71263.4415,324,0.7881414603228853,0.6486496585418144,0.6618479946118407,336.0534648503038,-0.5409747521211443
22.05,336.036877607503,70975.305,324,0.6285824341855892,0.6387414023513195,0.6302860722231429,336.036877607503,-0.5575619949219117
23.6167,336.0223732337691,70836.22200000001,324.5,0.5554748350262791,0.6195997789799883,0.6550593687973434,336.0223732337691,-0.5720663686558396
25.1833,336.0039384357984,70598.881,325.5,0.7060435837117083,0.5441791362637437,0.590201796261963,336.0039384357984,-0.5905011666265523
26.7667,335.9893278497146,70487.2495,324.5,0.5536410035540208,0.47712383417452026,0.551827684024448,335.9893278497146,-0.6051117527103429
28.3333,335.981275414683,70376.29149999999,324,0.30840425245395275,0.4343272062970596,0.4340695026694892,335.981275414683,-0.6131641877419156
29.9167,335.9662512910459,70316.63399999999,326,0.5693112405111905,0.40752383277241,0.34308510050567875,335.9662512910459,-0.6281883113790059
31.5,335.9652406454119,70321.7445,322.5,0.038298956636374046,0.3307104754897669,0.3769530994008594,335.9652406454119,-0.6291989570130454
33.0833,335.9472087995517,70220.49100000001,324,0.6833264394697404,0.3261066095841036,0.40172236435764574,335.9472087995517,-0.6472308028732527
34.6667,335.9400032727085,70191.6685,322.5,0.2730400471074448,0.37205006811033975,0.35497288184965825,335.9400032727085,-0.6544363297164182
36.2333,335.9314701509094,70209.318,324,0.32681431632066005,0.25964450654608734,0.23399717411048826,335.9314701509094,-0.6629694515155506
37.8167,335.9330216457447,70266.1525,322.5,0.0,0.13981150108743268,0.23045358732891863,335.9330216457447,-0.661417956680225
39.3833,335.9214586566764,70247.88949999999,323.5,0.4428567241782958,0.12276934766013896,0.2593896844861021,335.9214586566764,-0.6729809457485203
40.9667,335.9110184531277,70374.534,322.5,0.3956121087034025,0.18655235299837664,0.08448784288786015,335.9110184531277,-0.6834211492972031
42.55,335.9209332888848,70365.91949999999,325,0.0,0.2800093244789911,0.06318248526326897,335.9209332888848,-0.6735063135401447
44.1167,335.9207560088925,70463.24149999999,322,0.006789302059305751,0.2644899562264292,0.2624777854956153,335.9207560088925,-0.6736835935324166
45.7,335.8890597777342,70498.23549999998,323,1.2011456259074496,0.2933325403575398,0.4762345308761837,335.8890597777342,-0.7053798246907377
47.2833,335.8857052702791,70428.8545,323.5,0.1271208534733131,0.2016604841557442,0.3707814114624739,335.8857052702791,-0.7087343321458093
48.8667,335.8886683571269,70428.302,322.5,0.0,0.12093303551130115,0.015213870142162023,335.8886683571269,-0.705771245298024
50.4333,335.892962929506,70273.588,322,0.0,0.0794579017151759,0.0,335.892962929506,-0.7014766729189432
52.0167,335.8821999559442,70382.109,324,0.4078428784305439,0.16050902100449602,0.11602630771843614,335.8821999559442,-0.7122396464807252
53.6,335.8737635920391,70341.9805,322,0.31970052062545906,0.2716029128874997,0.21720798910303074,335.8737635920391,-0.7206760103858301
55.1833,335.8804567607633,70537.622,323,0.0,0.42505646841919,0.39212913246082337,335.8804567607633,-0.7139828416616183
56.75,335.8516214409966,70267.98199999999,324,1.1043078994076458,0.2987586293842885,0.45236878244983814,335.8516214409966,-0.7428181614283176
58.3333,335.8437333709641,70370.005,323,0.2989226311814449,0.1569794468711868,0.3120965968287521,335.8437333709641,-0.7507062314608106
59.9167,335.847977793657,70286.8165,324,0.0,0.1319313102209398,0.08146952821695663,335.847977793657,-0.7464618087679469
61.5,335.8553770573818,70322.8455,323.5,0.0,0.15314174629589003,0.0,335.8553770573818,-0.7390625450431116
63.0833,335.8357795706668,70374.459,323.5,0.742657236722383,0.20197841043304265,0.12640250631616823,335.8357795706668,-0.7586600317581542
64.6667,335.8454987777832,70296.1815,322.5,0.0,0.21779270187523384,0.39522568465395125,335.8454987777832,-0.7489408246417497
66.25,335.8194568157466,70166.3775,323,0.9868740745243156,0.22099758212572354,0.3111649937134189,335.8194568157466,-0.7749827866783221
67.8333,335.8193576790137,70222.9095,322,0.0037568394959627428,0.0,0.15358112260551593,335.8193576790137,-0.7750819234112214
69.4167,335.8291273160422,70203.6335,322.5,0.0,0.0980293135333683,0.0,335.8291273160422,-0.7653122863827093
71,335.8259388128968,70316.8455,323,0.1208300314051157,0.0,0.0,335.8259388128968,-0.7685007895281046
72.5833,335.8360057942454,70273.9995,323.5,0.0,0.0,0.0,335.8360057942454,-0.7584338081795181
74.1667,335.8279338369711,70379.229,323,0.3058718178967941,0.0,0.2693925836335893,335.8279338369711,-0.7665057654538145
75.75,335.8210363942177,70316.81349999999,323.5,0.26138228080946924,0.0,0.0,335.8210363942177,-0.7734032082072417
77.3333,335.8157247206146,70527.7025,323.5,0.20128871103781737,0.0,0.0,335.8157247206146,-0.7787148818103447
78.9167,335.8803594821876,70579.3535,323,0.0,0.10995701433349057,0.0,335.8803594821876,-0.7140801202373268
