Process Time [min],Average emission wavelength [nm],Integral,#Empty,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0,336.6391063835968,532223.5900000001,,6.482552150271712,4.0102476734831844,4.945436912633168,336.6391063835968,0.0
1.31667,336.4968500179352,524103.4450000001,,6.482552150271712,4.0102476734831844,4.945436912633168,336.4968500179352,-0.14225636566163757
2.61667,336.4635416150232,519027.55,,1.5373109036300565,3.1342328222929057,3.494950254473151,336.4635416150232,-0.17556476857362213
3.91667,336.4216112764921,514943.99,,1.9352463937418813,2.0155413508321325,2.388526963716963,336.4216112764921,-0.21749510710469622
5.21667,336.38891342096,511482.85,,1.509131793788863,1.1450935018119641,1.6351865181118137,336.38891342096,-0.25019296263678825
6.51667,336.3578567173399,507891.45,,1.4333863209274629,0.8244333355380238,1.1643748349319862,336.3578567173399,-0.2812496662568833
7.81667,336.3363795818428,504393.59,,0.9912524075607857,1.1622519017058206,1.0696700378546773,336.3363795818428,-0.30272680175403366
9.11667,336.3094087983008,500990.38,,1.2448053942447461,1.233280496287913,1.1203068715217104,336.3094087983008,-0.3296975852960031
10.4167,336.2838627556824,497608.525,,1.179020912675705,0.9926271372915056,1.0414491121035963,336.2838627556824,-0.3552436279144331
11.7,336.2677858711879,494186.45,,0.7516660715866649,0.9388421804284611,0.9750298536658141,336.2677858711879,-0.37132051240888586
13,336.2458477076344,490881.165,,1.0125306255461566,0.8246362084637844,0.877739756622885,336.2458477076344,-0.39325867596238595
14.3,336.2243033335163,487735.385,,0.9943557285300113,0.7786961450673693,0.794853283435343,336.2243033335163,-0.4148030500805362
15.6,336.21634139602,484230.75,,0.36747403828835207,0.7477632227701583,0.7637433106814489,336.21634139602,-0.4227649875767838
16.9,336.1977107876592,481116.485,,0.8598742320373298,0.7771797426055573,0.7544400000074221,336.1977107876592,-0.4413955959375926
18.2167,336.1800450246028,478402.5700000001,,0.8050017341724135,0.7415313315660464,0.7462091614444459,336.1800450246028,-0.45906135899400624
19.5167,336.1624907367777,475239.755,,0.8101978996189875,0.6908594178220266,0.7104692187981115,336.1624907367777,-0.4766156468190843
20.8167,336.1463151188469,472494.295,,0.7465669814214729,0.6335229037676872,0.6741490708962419,336.1463151188469,-0.4927912647498829
22.1167,336.1372816103325,469766.95,,0.41693116220533105,0.6003485009217366,0.6154179572856501,336.1372816103325,-0.5018247732643317
23.4167,336.1241453252356,467305.4400000001,,0.6062900813949804,0.5199374198198279,0.5608396899979118,336.1241453252356,-0.514961058361223
24.7167,336.1152867727468,465434.895,,0.4088562687133372,0.559367049424909,0.5587007271001959,336.1152867727468,-0.5238196108500119
26.0167,336.0990096317565,463021.685,,0.7512526610919569,0.6018227933857645,0.5652710733794969,336.0990096317565,-0.5400967518403377
27.3333,336.0860828712063,461130.34,,0.5890973970906042,0.5788533725518408,0.5879795909686703,336.0860828712063,-0.5530235123904959
28.65,336.0728556704353,459068.71,,0.6027432568257582,0.5280007632575446,0.5412253995370059,336.0728556704353,-0.5662507131615371
29.95,336.0681735354558,457285.65,,0.2160985375142515,0.453690395919865,0.48446200611842616,336.0681735354558,-0.5709328481410125
31.2333,336.0494236340255,455317.405,,0.8766415380791545,0.3684341538338067,0.4258920562233707,336.0494236340255,-0.5896827495712955
32.55,336.0489765177387,453584.525,,0.02037440359112139,0.3458778195023439,0.37772226280908683,336.0489765177387,-0.5901298658581027
33.85,336.0415192471295,452139.265,,0.3441817204256591,0.4285910350284828,0.39975452601976147,336.0415192471295,-0.5975871364673253
35.15,336.0285885814557,450069.99,,0.5967999541737244,0.4537014273616365,0.4296028102204046,336.0285885814557,-0.6105178021410893
36.45,336.0220994886224,448561.5,,0.29949659230641507,0.44741038222646407,0.4339277657880144,336.0220994886224,-0.617006894974395
37.75,336.0104976355831,446673.225,,0.5354701402771206,0.393050784533054,0.431678818644901,336.0104976355831,-0.6286087480137326
39.05,335.9953310035058,445184.745,,0.6999984035675128,0.34501748900607543,0.3861088252419502,335.9953310035058,-0.6437753800910286
40.35,335.9959343075233,443723.7999999999,,0.0,0.3799581387731338,0.34222963328772593,335.9959343075233,-0.6431720760734834
41.65,335.9926694628212,442399.88,,0.1506851400983162,0.38535401751904547,0.3706363567959306,335.9926694628212,-0.6464369207756135
42.95,335.9795959201281,440864.425,,0.6033942781440415,0.3824850671912743,0.38508034181245776,335.9795959201281,-0.6595104634687345
