Time,Average emission wavelength [nm],Integral,#Empty,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0.783333,336.6856545381988,292026.5649999999,,1.6900936846017638,1.580453796186164,1.6054953174036615,336.6856545381988,0.0
2.36667,336.6410547404605,283316.855,,1.6900936846017638,1.580453796186164,1.6054953174036615,336.6410547404605,-0.04459979773827172
3.95,336.6060912511599,279006.595,,1.3249350154646515,1.5085929755780234,1.5552852041653438,336.6060912511599,-0.07956328703886584
5.53333,336.5625481143284,276220.76,,1.6500591853178312,1.5007139141653099,1.4991326955039679,336.5625481143284,-0.12310642387035386
7.1,336.5211149294566,273691.675,,1.5867994487097397,1.464843426125375,1.4607965002736953,336.5211149294566,-0.16453960874218865
8.68333,336.491480303653,271095.015,,1.1229987104482422,1.3445065318663958,1.393261328774981,336.491480303653,-0.19417423454575555
10.2667,336.4517022451039,268487.22,,1.5073441538919585,1.2885092802214904,1.3347156164834943,336.4517022451039,-0.2339522930948874
11.8333,336.4196345237272,266237.27,,1.2281777624158228,1.25491722740479,1.2934940343927586,336.4196345237272,-0.26602001447156454
13.4167,336.3848976754192,264332.135,,1.3162883026904266,1.1156738027922415,1.146261224312474,336.3848976754192,-0.3007568627795649
15,336.3647735677346,262584.245,,0.7626138199193045,0.978107339257843,1.05520046267478,336.3647735677346,-0.32088097046420216
16.5833,336.3351088656889,260424.155,,1.1241597440419264,0.9099589355284275,1.0073980808456198,336.3351088656889,-0.3505456725098952
18.15,336.3067046134738,258516.01,,1.0877992805923982,0.8680962042423722,0.8580711170832322,336.3067046134738,-0.3789499247249637
19.7333,336.292600083664,256922.72,,0.5344986980281407,0.8125338865981073,0.7539837220480408,336.292600083664,-0.39305445453476295
21.3167,336.2777609891523,254901.1,,0.5622999057115754,0.76766298105341,0.8125085542498329,336.2777609891523,-0.40789354904649144
22.8833,336.2443315799837,253519.68,,1.2803297268711127,0.8714458215412526,0.8690822905749407,336.2443315799837,-0.44132295821509615
24.4667,336.2212762099111,251848.82,,0.8736403968396268,0.6059850373813926,0.7671826254778678,336.2212762099111,-0.4643783282876939
26.05,336.2178053049541,250876.805,,0.13153179903991544,0.5788421675224319,0.6458146697099529,336.2178053049541,-0.4678492332446922
27.6333,336.1954723097837,249203.745,,0.8463207921565994,0.6668605478931586,0.6678441751768762,336.1954723097837,-0.4901822284150512
29.2167,336.1702145658703,248207.06,,0.9570952600763268,0.8327248659017317,0.3762382507132145,336.1702145658703,-0.5154399723284655
30.7833,336.1605998438014,246951.445,,0.36823906813220075,1.0155070463589113,1.3480741480315288,336.1605998438014,-0.5250546943973973
32.3667,336.154109330828,245679.535,,0.2459459254777358,1.0341169149415237,2.483414457687388,336.154109330828,-0.5315452073707547
33.133367,336.0641741084603,243988.2,,7.038405646863294,1.7446712839147562,2.5029554689556903,336.0641741084603,-0.621480429738483
34.7167,336.0812810734107,241429.905,,0.0,0.5370659735061686,1.717527329916095,336.0812810734107,-0.6043734647880683
36.283370000000005,336.0731079412116,240446.92,,0.31301290759726424,0.3098898275558311,0.0,336.0731079412116,-0.6125465969871584
37.850030000000004,336.0727490401363,239331.81,,0.013745206056620583,0.15642633825798546,0.0,336.0727490401363,-0.6129054980625028
39.4167,336.064486894981,238091.135,,0.3164219071776282,0.19953401567438517,0.3223395899218886,336.064486894981,-0.6211676432178024
41.00003,336.0510705691329,237590.455,,0.5084092077362483,0.40614283273753043,0.4033602765983524,336.0510705691329,-0.6345839690658863
42.5667,336.0418037789278,236802.285,,0.35489759317983716,0.594536255370161,0.522520084938364,336.0418037789278,-0.6438507592710039
44.150000000000006,336.0246797235173,236209.2215,,0.6489252350335476,0.3430431613595985,0.5099812827543531,336.0246797235173,-0.6609748146814809
45.7167,336.0150438486458,235182.2245,,0.3690256541070525,0.24065180099238503,0.3412880476760449,336.0150438486458,-0.6706106895529729
47.3,336.0115618143361,234771.831,,0.1319535518101679,0.13584122545973873,0.10054152001150385,336.0115618143361,-0.6740927238626568
48.85,336.0179593622182,234472.4475,,0.0,0.1695761502018725,0.024241480366697488,336.0179593622182,-0.6676951759805547
50.433400000000006,336.0094474927989,233851.593,,0.3225414709850043,0.1281834837068492,0.1469061214269871,336.0094474927989,-0.676207045399849
52,335.9999742026021,233032.104,,0.36282229784789966,0.27839956031457713,0.3286598094650799,335.9999742026021,-0.6856803355966576
53.5834,335.99154371681,232810.32,,0.31945758969808585,0.36724116055650136,0.36669105012913406,335.99154371681,-0.6941108213887901
55.150000000000006,335.9823372736097,232388.138,,0.3526021907429507,0.3373815513657847,0.16895996204186758,335.9823372736097,-0.7033172645890886
56.7334,335.9783832922748,231677.453,,0.1498287735831642,0.2554539931959291,0.5320152652400196,335.9783832922748,-0.7072712459239483
58.3,335.9742117154153,231684.8605,,0.1597693167179412,0.2593622028070336,0.6529093490859168,335.9742117154153,-0.7114428227834537
59.083332999999996,335.9459996411101,231326.861,,2.160925759941315,0.5146224876267979,0.5793017959320821,335.9459996411101,-0.7396548970886556
60.65,335.9717594356529,230008.1925,,0.0,0.2721566226182231,0.44283208095711757,335.9717594356529,-0.7138951025458482
62.233329999999995,335.9481451362004,229680.784,,0.8948595473781443,0.27279179674395776,0.23735233439109038,335.9481451362004,-0.7375094019983521
