Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
1.16667,336.5343633808622,110916.3875,326,2.7259322134887816,2.4782136349406136,2.749048381396057,336.5343633808622,0.0
2.75,336.4624292100025,109253.876,325,2.7259322134887816,2.4782136349406136,2.749048381396057,336.4624292100025,-0.07193417085971987
4.31667,336.4018597751893,108007.1285,324,2.3196755467278987,2.256452909653973,2.3026920893267127,336.4018597751893,-0.13250360567292319
5.88333,336.3470657481295,106757.6615,325,2.0985035831548564,1.8663092230064302,1.9442755270673442,336.3470657481295,-0.18729763273267963
7.46667,336.3140967034515,105568.2795,325.5,1.2493480115956563,1.5512997115760765,1.6646949500989825,336.3140967034515,-0.2202666774106774
9.05,336.2637470310152,104525.392,324,1.9079916038846618,1.3725029197525986,1.4602516594735548,336.2637470310152,-0.2706163498469891
10.6167,336.2355445347924,103507.0835,325,1.0800726197548485,1.3047745268381095,1.3588313045390146,336.2355445347924,-0.2988188460698211
12.1833,336.2002962142137,102690.4015,324.5,1.3499931282520028,1.1728958829447786,1.2346351413427077,336.2002962142137,-0.3340671666484809
13.7667,336.1722359146392,101894.134,325,1.063292897859788,1.0408138517304497,1.1515699571136797,336.1722359146392,-0.36212746622300074
15.3333,336.142178959406,101154.236,324.5,1.1511664202677987,0.971903966224256,1.0495173856932374,336.142178959406,-0.3921844214561929
16.9167,336.1182892628532,100471.2565,324,0.9052556480798913,0.827020533965835,0.8229295734859914,336.1182892628532,-0.4160741180090213
18.5,336.1049156528627,99754.8925,325,0.5068001006940264,0.8004225892592443,0.767103354446256,336.1049156528627,-0.42944772799950215
20.0833,336.0833525718385,99248.4075,323,0.8171444839598048,0.7141887614836668,0.8009822187502769,336.0833525718385,-0.45101080902372814
21.6667,336.0533115322862,98717.04149999999,323,1.1383493577968564,0.7883190380380232,0.7624520735950409,336.0533115322862,-0.48105184857598715
23.25,336.0427491027602,98210.851,325,0.40026891401627096,0.6979660741075159,0.7182152011263874,336.0427491027602,-0.49161427810201985
24.8167,336.0295948687885,97768.9215,322.5,0.5037684549066581,0.584397315253312,0.6351277685111327,336.0295948687885,-0.5047685120737242
26.4,336.0012664551869,97374.598,325.5,1.073520379014876,0.47506658643876465,0.6767276843822216,336.0012664551869,-0.5330969256752951
27.9833,335.9940971839548,97016.445,323,0.27168336633996004,0.5184004744447305,0.4894952003258908,335.9940971839548,-0.5402661969073961
29.55,335.9756735978489,96679.27399999999,322.5,0.7055691366266305,0.8029707174769452,0.4515496814105262,335.9756735978489,-0.5586897830132784
30.71667,336.3397475958683,193327.868,326.5,0.0,1.474541277599956,0.7637028435310427,335.9756735978489,-0.5586897830132784
32.28333,336.2846191045396,191717.824,325,2.111312907536042,1.2985131565608845,1.3195071867506556,335.92054510652025,-0.613818274341952
33.86667,336.2486654576645,190077.4,325,1.362448250221694,1.3978866713257825,1.6710107568437422,335.88459145964515,-0.6497719212170523
35.43333,336.2084126934614,188602.1075,324.5,1.541601784807292,1.3689461726443533,1.428563209845592,335.84433869544205,-0.6900246854201555
37.01667,336.1801421446981,187270.7495,325.5,1.07130049502886,1.0938802584138443,1.0505147536404777,335.81606814667873,-0.7182952341834721
38.6,336.1638692650472,186077.8375,323,0.6166577902609809,0.8904985483479724,0.8977831497851625,335.79979526702783,-0.7345681138343707
40.1833,336.1358299983381,184783.405,325,1.0625630029333275,0.7071763344804437,0.8028886000418076,335.77175600031876,-0.762607380543443
41.7667,336.116720289079,183910.4715,324,0.7241269139489251,0.7301854865033033,0.7927931589357335,335.75264629105965,-0.7817170898025552
43.35,336.0974988861217,182923.209,324,0.7284053416533015,0.6973431302941551,0.7527713683528203,335.7334248881023,-0.800938492759883
44.9333,336.0807513132194,182100.299,325.5,0.6346582291010388,0.6926251010908921,0.6500456507062147,335.71667731520006,-0.8176860656621443
46.5167,336.0599203598499,181311.9995,323.5,0.7893502603073714,0.6374949578672771,0.6274440448399439,335.69584636183055,-0.8385170190316558
48.1,336.0522155368228,180519.409,324.5,0.29197838794028347,0.5724180326824453,0.6446761853973193,335.68814153880345,-0.8462218420587533
49.666700000000006,336.0266304828028,179953.523,324,0.9798322851869998,0.6146846987835402,0.5956545935476214,335.6625564847834,-0.8718068960787946
51.2667,336.0166983830112,179197.494,325.5,0.37245374218386545,0.4915239097470057,0.5369910655870029,335.65262438499184,-0.8817389958703643
52.8333,336.0062048016414,178470.009,323,0.401898941777665,0.3440704680854342,0.42716090905602755,335.642130803622,-0.8922325772401791
54.416700000000006,335.9947653195278,177816.971,323.5,0.4334779126027819,0.29165617752569045,0.410630473274475,335.63069132150844,-0.9036720593537666
56,335.9840029166153,177167.485,324,0.40784701241151156,0.3853595685777354,0.28327150685285574,335.6199289185959,-0.9144344622662857
57.6,335.9745644523859,176687.7575,323.5,0.35394240860213616,0.5422064962301342,0.30285878056497495,335.6104904543665,-0.923872926495676
58.75,336.2238652005882,258054.15,324.5,0.0,1.1059750937113164,0.5835913726858166,335.6104904543665,-0.923872926495676
60.333330000000004,336.1819220966781,256420.76,324.5,1.5894262311753329,0.9567203419014937,1.0277437774335567,335.5685473504564,-0.9658160304057901
61.91667,336.1482383883068,254987.57,323.5,1.276429890153347,1.0180523279796154,1.1972511813848428,335.53486364208516,-0.9994997387770468
63.5,336.1310034931188,253526.77,325,0.6531131926271642,0.9704194619213792,0.956714232522426,335.5176287468971,-1.0167346339650862
65.08333,336.1102799875936,252273.425,324,0.7853134416152533,0.8341370105255456,0.752170496615264,335.4969052413719,-1.0374581394902975
66.65,336.0866976755084,250934.285,323,0.9031504561336553,0.6857028378941039,0.7094931148213206,335.4733229292867,-1.0610404515754794
68.2333,336.0735169262258,249833.135,324.5,0.4994915410566369,0.5769350700798302,0.6935992443174879,335.46014218000414,-1.0742212008580623
69.8167,336.0559405980329,248724.485,324.5,0.6660222884762381,0.607030800919333,0.6198678771603872,335.44256585181125,-1.0917975290509503
71.4,336.0385987841776,247630.415,324,0.6571773077229589,0.5309925720413556,0.5659095034676014,335.42522403795596,-1.1091393429062464
72.9833,336.0276111410671,246730.845,323,0.4163826101380012,0.4340984389513691,0.493246311752948,335.41423639484543,-1.1201269860167713
74.55,336.0168367888037,245736.285,323.5,0.4126259882585435,0.42306173836080097,0.41254208975499296,335.403462042582,-1.1309013382801822
76.15,336.0066822714728,244958.435,323.5,0.38079439990781094,0.38911501944718124,0.383122242659347,335.39330752525115,-1.1410558556110573
77.7333,335.9947084572585,244144.985,322.5,0.453754091364359,0.4270408007854811,0.38838298828561335,335.38133371103686,-1.1530296698253437
79.3167,335.9870548721951,243318.595,323,0.2900183805779234,0.4221076870846164,0.4295524497447403,335.3736801259734,-1.160683254888795
80.9,335.9725527971731,242629.355,322,0.5495638863889643,0.34553533514047713,0.43047921369414155,335.3591780509514,-1.1751853299107893
82.4833,335.9611584571935,241926.44,323.5,0.4317946054281983,0.3223503180715529,0.421065915908585,335.34778371097184,-1.1865796698903637
84.08330000000001,335.9556948563379,241173.48,322.5,0.20488503208468822,0.36122117387877617,0.2831330467421367,335.34232011011625,-1.1920432707459554
85.65,335.9422285816639,240589.545,325,0.5157186956272862,0.48545507774538416,0.2809757273097375,335.32885383544226,-1.2055095454199432
86.81667,336.1561757920496,311386.27,324.5,0.0,0.86143066130713,0.5009265666867009,335.32885383544226,-1.2055095454199432
