Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0.783333,336.6296341203176,239992.495,327,3.3236313529378054,2.7756952540714996,3.2148871058102784,336.6296341203176,0.0
2.35,336.542850394304,237066.315,326.5,3.3236313529378054,2.7756952540714996,3.2148871058102784,336.542850394304,-0.08678372601355022
3.93333,336.4826867101764,234037.445,325.5,2.2798917772407963,2.365599333246072,2.4742623656972387,336.4826867101764,-0.14694741014119472
5.5,336.4333875975836,231557.595,324.5,1.8880471034534982,1.8948514681597333,1.929571947310821,336.4333875975836,-0.19624652273398624
7.1,336.3896429568242,229023.65,325.5,1.6404240284764169,1.4308703375236262,1.574664819352861,336.3896429568242,-0.23999116349335736
8.66667,336.3539387586778,227034.6835,325.5,1.3673919132832364,1.192323875208026,1.3727514832491647,336.3539387586778,-0.27569536163974817
10.25,336.3231475585112,225214.294,325,1.166826883844234,1.0975927440336661,1.1878011757691636,336.3231475585112,-0.30648656180636635
11.8167,336.2949722323352,223623.4225,324.5,1.0790320869081444,1.0435998442251868,1.0661107748844718,336.2949722323352,-0.3346618879823495
13.4,336.2692992724075,222422.9075,323,0.9728905423243996,0.9338430100442453,0.9730371405463067,336.2692992724075,-0.3603348479100532
14.9667,336.2448387016354,221211.188,324.5,0.9367678855735551,0.8863488902831705,0.9146358209244176,336.2448387016354,-0.38479541868218803
16.55,336.2240821353799,220153.5145,324.5,0.7865811756015852,0.8326096664439222,0.8684765319197751,336.2240821353799,-0.40555198493768785
18.1167,336.1995220559231,219455.4305,323,0.940578775391415,0.7765554692788655,0.8010383430823835,336.1995220559231,-0.43011206439445004
19.7,336.1826888501682,218661.044,324.5,0.63790333183664,0.7223125155378575,0.7513030996894966,336.1826888501682,-0.4469452701493992
21.2667,336.1641804892058,217918.255,324,0.7088157641804113,0.6797173259459207,0.691309989375454,336.1641804892058,-0.46545363111175675
22.8667,336.1455816988039,217217.31,325,0.6974546400726921,0.6056351737705467,0.6331272841501381,336.1455816988039,-0.4840524215136952
24.45,336.1314909928706,216893.651,324.5,0.5339748348357072,0.5604751966574855,0.6097152198255312,336.1314909928706,-0.49814312744695144
