Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0,336.723321345802,348918.485,326.5,2.3208727167087018,2.4389037243217393,2.50132170778322,336.723321345802,0.0
1.58333,336.6620762224929,330682.495,327,2.3208727167087018,2.4389037243217393,2.50132170778322,336.6620762224929,-0.061245123309106475
3.16667,336.5884981955531,326255.65,326,2.7882082284209027,2.2617594630392293,2.3310939696995,336.5884981955531,-0.13482315024890568
4.73333,336.5418714441321,322522.05,327,1.7857129723488838,2.0102894781885023,2.1157268736903427,336.5418714441321,-0.18144990166990738
6.31667,336.4888348166534,318740.875,326,2.0098005789784206,1.686323455920272,1.8188165262185962,336.4888348166534,-0.23448652914856893
7.9,336.4493907880373,315243.59,324.5,1.49472423118808,1.4793740305950835,1.5781512453562114,336.4493907880373,-0.273930557764686
9.46667,336.4131659223531,312136.665,325,1.3873323297528861,1.3037041590263838,1.381189489298933,336.4131659223531,-0.31015542344891855
11.05,336.3791407783627,308981.4400000001,325.5,1.289376592007639,1.1907089030440257,1.2093382790621812,336.3791407783627,-0.34418056743930947
12.6333,336.3536155119859,306204.18,325,0.9672936162497309,1.1457833372638264,1.1837277014585805,336.3536155119859,-0.36970583381611277
14.2,336.3182971904531,303642.395,325,1.3525877908765058,1.061765225002761,1.134207354896592,336.3182971904531,-0.40502415534888314
15.7667,336.291409292125,301373.12,326.5,1.0297273885779374,1.0076433546220536,1.0608344796755675,336.291409292125,-0.4319120536769674
17.35,336.2683591642626,299254.36,325,0.8734969189315228,0.9063821405954661,0.9452832427500404,336.2683591642626,-0.45496218153937207
18.9167,336.2462888632232,297273.1749999999,324.5,0.8452275881573197,0.8402958258599519,0.836045546584895,336.2462888632232,-0.4770324825788066
20.5,336.2234811794823,295309.825,325,0.8643093693258436,0.7540077512113901,0.7956584785988396,336.2234811794823,-0.4998401663197001
22.0833,336.2058318410831,293525.995,325,0.668831114728741,0.7017267054920443,0.7532829567819348,336.2058318410831,-0.517489504718867
23.6667,336.1859828851708,291904.14,324.5,0.7521392918652211,0.7117705055714804,0.6998414751751456,336.1859828851708,-0.5373384606311902
25.25,336.1686321783381,290361.075,324,0.657514311856296,0.6494404296156261,0.6621109974244339,336.1686321783381,-0.5546891674638914
26.8167,336.1522594063332,288864.135,324.5,0.6270289910601747,0.6326149696637172,0.649250255782862,336.1522594063332,-0.571061939468791
28.4,336.1360348683359,287617.0699999999,324.5,0.6148375417402423,0.5771852640029168,0.6355570946960505,336.1360348683359,-0.5872864774660798
