Process Time [min],Average emission wavelength [nm],Integral,Max emission wavelength [nm],diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
0.4,336.6375112693149,179953.9955,328,1.6731104867175173,2.0764699580056414,1.9027467003707446,336.6375112693149,0.0
1.96667,336.5938244025445,175817.528,327.5,1.6731104867175173,2.0764699580056414,1.9027467003707446,336.5938244025445,-0.04368686677042888
3.55,336.5255120999954,173926.1375,326.5,2.588682178033206,2.0482999521717,2.080953783763603,336.5255120999954,-0.11199916931951748
5.11667,336.4739923719719,172144.978,326.5,1.9730917687895826,1.924139839745997,2.093385598209598,336.4739923719719,-0.1635188973430104
6.68333,336.4317694248086,170354.7605,325,1.6170559213871027,1.7794534554867512,1.9036058611211797,336.4317694248086,-0.20574184450634903
8.26667,336.3774518985976,168813.565,326,2.058339694985784,1.5287226551847062,1.5983271552222345,336.3774518985976,-0.2600593707173289
9.85,336.3494582083852,167311.9795,325.5,1.0608157571340262,1.2923762945102804,1.3894931230083118,336.3494582083852,-0.2880530609297125
11.4167,336.3168342349552,166028.139,325.5,1.2494021866350995,1.163549184446074,1.1826245271012938,336.3168342349552,-0.3206770343597327
12.9833,336.2889803906506,164945.6325,326,1.0667883686179984,1.084312333090532,1.0939763004927676,336.2889803906506,-0.3485308786643486
14.55,336.2572060044587,163804.795,326,1.2168654953174847,1.0063980160842352,1.1163835863256866,336.2572060044587,-0.38030526485624705
16.1333,336.2346426410263,162871.728,326,0.855050720610191,0.9080752056195315,1.000611968049188,336.2346426410263,-0.4028686282886156
17.7167,336.2052826827109,161968.3495,324,1.112541050223966,0.8397112533944404,0.8272864851410242,336.2052826827109,-0.4322285866040261
19.3167,336.1958943009024,161236.3185,324.5,0.35206431781844494,0.7153238411984103,0.7646156254339775,336.1958943009024,-0.44161696841251796
20.8833,336.1712342954818,160484.345,324.5,0.9444659295529827,0.6212103004945176,0.6684769665249002,336.1712342954818,-0.46627697383314626
